ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0717,3574,2038,7422,3127,3366,11709,16734,11705,2976,12490,10567,5982,7765,12300,2166,4288,5423,3648,3384,1882,12541,3169,18320,12888,3373,21005,26708,16547,15261,14123,1383,3381,1325,8694,2468,2409,7451,2888,2532,11562,17787,13548,2847,9097,9023,5383,7471,12139,1653,4738,5426,3076,5505,2409,11396,4595,15285,13358,1996,19489,26263,13819,13190,11369,1219,2822,970,8653
DMHDS1230,1953,1213,5927,2389,1862,11721,12864,10917,3255,11885,8360,7221,6158,11422,2224,3684,4293,2538,3633,1750,9292,3349,12945,11285,1579,14813,23557,15805,11571,13923,973,2542,1327,7294,2109,1577,6490,3565,1915,9802,16764,10479,2461,11667,7934,6829,5929,11686,1765,3752,3481,2846,3400,2226,10845,3587,13719,11892,1837,15703,24216,13702,12447,12171,1311,2531,1043,7556
DMHDS0784,2693,1426,7803,2263,2473,11896,11887,12569,3702,8476,8953,4991,5703,9964,1805,3508,5051,2289,3594,1630,8428,2727,11705,11104,2075,19027,23959,14560,12105,11794,996,2631,1011,6241,2125,2691,6473,2664,2380,9903,14862,12209,2678,8497,7899,5224,5609,10398,1503,3992,4050,3002,3605,2203,8301,2890,13449,11151,2488,17266,21928,13999,10798,10398,1081,2081,860,6016
DMHDS0210,2803,998,7088,4843,2555,11528,12128,15224,3530,14253,10298,7816,7098,14253,2042,3600,5574,3325,5007,2739,8172,3644,13736,11730,2880,18545,28919,16140,15030,10645,1275,2617,1444,8037,1846,1837,7077,4854,1568,12334,18237,15030,3280,15263,10374,9261,7482,15515,2169,3679,5454,3350,5739,2945,9084,4206,12795,12388,2107,21524,29204,16506,13722,11001,1480,3304,1325,8113
DMHDS0244,2581,1291,5261,2766,1286,9990,11093,9358,2256,9588,7528,4395,5839,10456,2239,3454,4651,2260,3144,1487,9178,3491,12253,9081,3015,12521,19498,12885,12321,10959,808,2862,1110,6189,2398,1821,4647,3081,1244,8467,12562,9305,1774,9228,6596,5202,6192,10339,1893,3533,3114,2678,3743,1948,8594,3243,11273,9265,1725,11607,18640,11465,12048,9824,1240,2672,758,6024
DMHDS0241,1925,1573,5578,3509,1868,9473,10939,9753,2989,10534,8067,6855,6081,11501,1915,3563,5588,2518,4056,2404,8841,3439,12608,10050,2984,14858,23481,13207,13444,11164,890,2584,1254,7620,2057,2300,4914,3538,1868,7985,13295,8740,2771,9769,8285,6581,6341,12850,1845,3626,4820,3414,5385,3110,8138,2822,11907,10892,2817,15488,21385,14056,12590,9898,1045,2341,1157,7153
DMHDS0213,3138,1766,6119,1940,1182,8900,11509,10095,2341,6562,7320,4599,5279,10811,1911,2700,4557,2178,3517,1483,8454,3131,13589,7442,2659,13675,20843,11439,11009,10318,1117,2385,764,6856,2405,925,6172,2223,972,8168,12474,8229,2485,6931,7516,4699,5512,11133,1518,2697,3432,2606,4367,1849,8124,2888,12519,7833,2028,15501,20112,10294,11401,11072,1170,1801,759,6288
DMHDS0263,1588,2108,6803,3898,1770,8422,11093,9825,2906,9546,8241,5854,6117,9104,1616,3791,4750,2310,3301,2375,8426,3113,14892,9613,3167,15580,21686,12276,13102,12235,1045,2285,1577,6985,2035,1409,6240,3576,1122,8505,15424,9454,2776,11271,8213,5733,6308,9532,1683,3569,3630,2879,4130,2260,7672,3150,13136,9560,1553,15322,21262,11882,9381,9541,1150,1841,946,6391
DMHDS0270,2178,1240,5412,3286,2518,10912,13541,11238,2426,10064,7355,6685,5553,9963,1951,3929,4833,2575,4116,1828,8539,2521,12526,10114,2760,13553,21919,14292,13240,10856,795,3235,1337,6399,2678,2198,5627,3025,2024,10155,14752,10992,2586,11877,6890,7482,6202,12342,1873,4119,4735,2863,4274,2306,8121,3662,11267,10877,1692,14192,20049,14004,11779,10966,1099,2321,882,6385
DMHDS0267,2308,1557,4405,2417,1257,8560,10140,8443,1943,9050,6809,6036,5195,9379,1474,3586,4497,2331,3809,1780,8019,3313,12029,10478,1979,11160,18324,11220,10033,10881,847,1832,1175,5834,1856,1883,4887,2769,987,7979,11457,7900,2075,9884,6642,6348,5631,10253,1610,3883,3195,2923,3438,2298,7673,2981,12117,10066,1088,11727,19197,12809,9460,8986,1009,1567,840,5905
