ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0756,7952,1440,662,3447,2813,852,4662,7601,5457,1926,8383,4109,5757,3170,4958,1168,2103,2498,1178,2095,2554,7417,1948,7927,6220,1213,8519,12307,9748,6042,5633,380,810,767,3958,8291,1192,1325,3354,3167,709,4385,8139,5298,1661,8065,3496,5811,3118,5556,958,2484,1811,1243,2009,3137,7096,1502,8112,5855,1128,8046,9523,9534,5754,6565,534,771,624,3957
DMHDS1160,8025,1417,1600,3277,2176,760,5260,8984,5119,1671,8659,4542,3832,3063,4819,1150,2250,2602,1044,1964,1725,6420,1925,7668,6603,1615,8588,11133,8747,5564,6239,416,719,829,3816,7834,1308,1071,3900,1992,681,4955,9767,5747,1490,8626,3706,4017,3120,5205,1010,2431,2294,1100,2412,1554,6467,1731,7838,7609,1173,8749,11194,8564,5646,5721,453,757,552,3498
DMHDS0688,8409,1467,731,3290,1807,730,4609,6368,5087,1508,7625,3932,3856,2555,5125,1128,2100,2226,899,1892,1391,6342,1520,7616,5522,1271,7824,11022,8522,6376,5576,391,669,797,3861,8508,1244,1017,3166,2161,851,4156,7248,5084,1356,8763,3816,4963,3080,4996,902,2477,2046,1150,2108,2172,6785,1906,8054,5564,909,7456,11068,8532,5740,4996,405,587,576,3131
DMHDS0519,7990,1431,881,3424,2290,717,3876,6279,5437,1742,6878,3500,4957,2535,4786,1021,1841,2136,897,1683,2508,6559,1751,7282,5228,1266,8144,9297,8219,5485,5348,394,640,674,2975,8005,1312,780,2711,2485,452,4078,7520,4570,1508,7788,3345,4732,2800,4951,902,2240,1917,1077,2122,2419,6201,1636,7215,5195,689,8077,9658,8183,5494,5357,379,718,593,3062
DMHDS0534,7652,1584,744,3265,2271,840,4953,8173,5350,1677,8607,3947,4515,3103,5011,1035,1842,2070,1002,1668,1656,6892,1442,7466,7389,1119,9470,10639,9843,5757,5955,409,603,841,3704,7745,1377,1360,3026,2661,625,4291,7975,4858,1391,7999,3547,5401,3039,4940,862,2261,1947,1106,2353,2424,6489,1714,8407,6817,933,8826,9231,9815,5666,6580,446,631,592,3101
DMHDS0692,8128,1413,1290,3541,2394,997,5232,6198,5116,1786,6859,4584,4580,3319,4890,1075,2401,2716,1237,2450,2213,6498,1941,7845,6476,1453,10113,12395,9155,6402,7384,484,719,857,3856,7004,1473,1366,3410,2432,916,4219,9738,5351,1735,6849,4781,4753,3088,5618,1066,2581,2323,1583,2770,2357,6118,1955,7145,6830,1172,9667,12106,9381,5893,5121,518,726,602,3497
DMHDS0403,7971,1381,830,3134,2578,698,3819,6185,4882,1579,7490,2884,4915,2851,4911,994,1949,2256,990,1442,1854,6339,1788,7306,5050,951,7161,11315,7425,6029,5588,339,572,661,3660,7555,1287,1210,3169,2187,565,4599,6902,4553,1329,7534,2910,4069,2566,5238,1050,2240,1690,1112,1725,1589,6246,1478,7369,5234,885,7268,10287,6815,5714,5160,412,572,573,3676
DMHDS0438,8653,1699,768,3129,2432,649,4917,6759,5068,1516,8886,4147,5338,2535,4682,983,1999,2524,1067,2094,2235,6283,1463,7180,5579,1166,7982,10206,9437,6547,7305,330,674,832,3561,8532,1481,1139,2814,2963,497,4776,9828,5272,1459,9559,4068,5841,2709,4946,1208,2466,1980,1454,1866,2675,5945,1666,7924,5570,994,8106,10077,8369,5386,4265,464,734,576,2923
DMHDS0408,9025,1760,1157,3195,2813,667,4734,7446,5372,1470,8165,3843,4739,2843,5074,1036,2383,2588,1121,2011,2472,6757,1456,7387,6333,1074,8134,10030,9919,7190,8299,393,780,807,3222,8435,1354,1209,3322,2975,817,4884,9774,5100,1610,8886,3858,5021,2734,5563,942,2721,2015,1249,2114,2348,6973,2050,7163,6530,1106,8148,9741,9920,6197,6074,504,793,715,3324
DMHDS0463,8992,1996,944,3071,2567,997,5040,8386,6102,1623,9956,4141,4919,3327,5433,1084,2400,2824,1216,2375,2386,6172,1795,7973,6151,1225,8878,10773,9393,6783,6306,453,761,725,3347,9100,1629,1122,2677,2510,675,4783,8268,5730,1554,9868,4426,5919,3209,5720,980,2302,2001,1413,2489,2638,6782,1872,8090,6364,963,9906,10214,9316,5886,6126,417,766,638,3613
